Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jimmer Fredette\jimmer-fredette-1,SR,2010-11,G,Brigham Young,MWC,37,1323,346,765,222,452,124,313,252,282,24,103,127,160,49,1,131,49,1068
Glenn Robinson\glenn-robinson-1,JR,1993-94,F,Purdue,Big Ten,34,1166,368,762,289,554,79,208,215,270,,,344,66,56,31,139,88,1030
Stephen Curry\stephen-curry-1,JR,2008-09,G,Davidson,Southern,34,,312,687,182,351,130,336,220,251,,,151,189,86,8,126,,974
Kemba Walker\kemba-walker-1,JR,2010-11,G,Connecticut,Big East,41,1543,316,739,241,512,75,227,258,315,53,170,223,184,77,7,93,56,965
J.J. Redick\jj-redick-1,SR,2005-06,G,Duke,ACC,36,1336,302,643,163,313,139,330,221,256,,,71,95,52,2,,,964
Trey Johnson\trey-johnson-1,SR,2006-07,G,Jackson State,SWAC,35,1323,311,752,232,515,79,237,246,331,,,158,90,32,3,,,947
Reggie Hamilton\reggie-hamilton-1,SR,2011-12,G,Oakland,Summit,36,1284,281,630,163,349,118,281,262,299,26,111,137,185,72,2,134,101,942
Doug McDermott\doug-mcdermott-1,SR,2013-14,F,Creighton,Big East,35,1181,330,627,234,413,96,214,178,206,57,187,244,55,8,5,62,67,934
Stephen Curry\stephen-curry-1,SO,2007-08,G,Davidson,Southern,36,,317,656,155,287,162,369,135,151,,,165,104,73,14,93,,931
Reggie Williams\reggie-williams-3,JR,2006-07,F,Virginia Military Institute,Big South,33,,338,636,262,398,76,238,176,267,,,263,146,55,10,,,928
Allen Iverson\allen-iverson-1,SO,1995-96,G,Georgetown,Big East,37,1213,312,650,225,412,87,238,215,317,,,141,173,124,16,139,88,926
Adam Morrison\adam-morrison-1,JR,2005-06,F,Gonzaga,WCC,33,1205,306,617,232,444,74,173,240,311,,,182,56,35,11,,,926
Buddy Hield\buddy-hield-1,SR,2015-16,G,Oklahoma,Big 12,37,1309,301,601,154,279,147,322,176,200,46,166,212,75,42,18,113,76,925
